L,rate
0.0,1627685.0665639318
0.01,1626923.7446165632
0.02,1626162.7739917894
0.03,1625402.1545278614
0.04,1624641.8860631005
0.05,1623881.968435905
0.06,1623122.4014847483
0.07,1622363.185048176
0.08,1621604.31896481
0.09,1620845.8030733478
0.1,1620087.637212555
0.11,1619329.821221277
0.12,1618572.354938434
0.13,1617815.2382030154
0.14,1617058.4708540912
0.15,1616302.052730797
0.16,1615545.9836723525
0.17,1614790.2635180429
0.18,1614034.8921072318
0.19,1613279.8692793548
0.2,1612525.194873925
0.21,1611770.8687305255
0.22,1611016.8906888142
0.23,1610263.2605885216
0.24,1609509.9782694578
0.25,1608757.0435714985
0.26,1608004.4563345972
0.27,1607252.216398784
0.28,1606500.323604158
0.29,1605748.7777908926
0.3,1604997.578799237
0.31,1604246.7264695119
0.32,1603496.2206421127
0.33,1602746.0611575064
0.34,1601996.2478562372
0.35,1601246.7805789192
0.36,1600497.6591662408
0.37,1599748.8834589666
0.38,1599000.453297928
0.39,1598252.3685240352
0.4,1597504.6289782717
0.41,1596757.2345016913
0.42,1596010.1849354217
0.43,1595263.480120666
0.44,1594517.1198986985
0.45,1593771.104110864
0.46,1593025.4325985883
0.47,1592280.105203361
0.48,1591535.12176675
0.49,1590790.4821303943
0.5,1590046.1861360078
0.51,1589302.2336253757
0.52,1588558.624440356
0.53,1587815.3584228782
0.54,1587072.4354149487
0.55,1586329.8552586427
0.56,1585587.6177961105
0.57,1584845.7228695732
0.58,1584104.1703213255
0.59,1583362.9599937345
0.6,1582622.0917292414
0.61,1581881.5653703571
0.62,1581141.3807596655
0.63,1580401.5377398273
0.64,1579662.0361535694
0.65,1578922.8758436965
0.66,1578184.0566530796
0.67,1577445.5784246696
0.68,1576707.4410014837
0.69,1575969.644226613
0.7,1575232.187943222
0.71,1574495.0719945466
0.72,1573758.2962238952
0.73,1573021.8604746473
0.74,1572285.7645902564
0.75,1571550.0084142475
0.76,1570814.591790214
0.77,1570079.5145618285
0.78,1569344.7765728289
0.79,1568610.3776670278
0.8,1567876.31768831
0.81,1567142.5964806331
0.82,1566409.2138880235
0.83,1565676.1697545815
0.84,1564943.4639244785
0.85,1564211.0962419596
0.86,1563479.066551337
0.87,1562747.3746970007
0.88,1562016.0205234073
0.89,1561285.0038750882
0.9,1560554.3245966423
0.91,1559823.982532746
0.92,1559093.977528144
0.93,1558364.3094276495
0.94,1557634.9780761527
0.95,1556905.9833186127
0.96,1556177.325000058
0.97,1555449.0029655928
0.98,1554721.0170603893
0.99,1553993.3671296923
1.0,1553266.0530188158
1.01,1552539.0745731483
1.02,1551812.431638148
1.03,1551086.124059343
1.04,1550360.1516823354
1.05,1549634.5143527947
1.06,1548909.2119164658
1.07,1548184.244219159
1.08,1547459.6111067617
1.09,1546735.3124252285
1.1,1546011.3480205857
1.11,1545287.7177389306
1.12,1544564.4214264303
1.13,1543841.458929326
1.14,1543118.8300939251
